ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,nhs_board,age_group
2002-01-01,3.6068222150088336,58.32565288265945,73.5598407364849,3.6068222150088336,3.6068222150088336,62.11852792207305,62.11852792207305,62.11852792207305,62.11852792207305,62.11852792207305,62.11852792207305,0.0,0.0,0.0,65.72535013708189,Fife,20 to 24
2003-01-01,2.281690282705096,57.92124278048849,72.49291595864979,2.281690282705096,2.281690282705096,62.62072433511053,62.62072433511053,62.62072433511053,62.62072433511053,62.62072433511053,62.62072433511053,0.0,0.0,0.0,64.90241461781562,Fife,20 to 24
2004-01-01,0.9565582502206735,56.5470863957597,71.51582116162459,0.9565582502206735,0.9565582502206735,63.146299499689476,63.146299499689476,63.146299499689476,63.146299499689476,63.146299499689476,63.146299499689476,0.0,0.0,0.0,64.10285774991014,Fife,20 to 24
2005-01-01,-0.3722042165037853,53.823410997493774,68.76876170501919,-0.3722042165037853,-0.3722042165037853,61.64031755561566,61.64031755561566,61.64031755561566,61.64031755561566,61.64031755561566,61.64031755561566,0.0,0.0,0.0,61.26811333911188,Fife,20 to 24
2006-01-01,-1.6973365044369615,52.59456889186438,68.05510320708237,-1.6973365044369615,-1.6973365044369615,62.118527922070854,62.118527922070854,62.118527922070854,62.118527922070854,62.118527922070854,62.118527922070854,0.0,0.0,0.0,60.42119141763389,Fife,20 to 24
2007-01-01,-3.022468884613513,52.41869960627669,67.10307875412086,-3.022468884613513,-3.022468884613513,62.62072433510842,62.62072433510842,62.62072433510842,62.62072433510842,62.62072433510842,62.62072433510842,0.0,0.0,0.0,59.598255450494904,Fife,20 to 24
2008-01-01,-4.347601537488393,51.76395246991988,66.57614237193114,-4.347601537488393,-4.347601537488393,63.14629949969234,63.14629949969234,63.14629949969234,63.14629949969234,63.14629949969234,63.14629949969234,0.0,0.0,0.0,58.798697962203946,Fife,20 to 24
2009-01-01,-5.677344182220359,48.76440349586713,63.4465961573288,-5.677344182220359,-5.677344182220359,61.64031755561268,61.64031755561268,61.64031755561268,61.64031755561268,61.64031755561268,61.64031755561268,0.0,0.0,0.0,55.96297337339232,Fife,20 to 24
2010-01-01,-7.005192127399998,47.96410887932513,62.57634469233327,-7.005192127399998,-7.005192127399998,62.11852792207198,62.11852792207198,62.11852792207198,62.11852792207198,62.11852792207198,62.11852792207198,0.0,0.0,0.0,55.11333579467198,Fife,20 to 24
2011-01-01,-8.334924024384689,46.68193095056941,62.13848771033327,-8.334924024384689,-8.334924024384689,62.620724335109294,62.620724335109294,62.620724335109294,62.620724335109294,62.620724335109294,62.620724335109294,0.0,0.0,0.0,54.2858003107246,Fife,20 to 24
2012-01-01,-9.665989214666105,46.318369266816,61.1345474171195,-9.665989214666105,-9.665989214666105,63.14629949969214,63.14629949969214,63.14629949969214,63.14629949969214,63.14629949969214,63.14629949969214,0.0,0.0,0.0,53.480310285026036,Fife,20 to 24
